"Type specimens at Botanical Survey of India, Central Regional Centre, Allahabad (BSA)",,,,,,,,,
Name of the Taxon,Family,Place of collection,"Date of 
Collection","Name of the
collector","F.No. / 
Coll. No.",Type Details,"Herbarium
Acronym",,
"Schefflera pushpangadanii
Chakrab.","Great Nicobar,
Galathea riverside",16.6.1977,N.P. Balakrishnan,5791,Paratype,PBL,,,
"Lasianthus andamanicus Hook.f.
var. ciliatus Deb & M. Gangop.","South Andaman,
Beadonloand","30.11.197
3",N.G. Nair,654,Isotype,PBL,,,
"Lasianthus andamanicus Hook.f.
var. ciliatus Deb & M. Gangop.","South Andaman, near
Dhanikhari","30.11.197
4",N.G. Nair,840,Paratype,PBL,,,
"Lasianthus andamanicus Hook.f.
var. ciliatus Deb & M. Gangop.","South Andaman, near
Hersertabad","29.11.197
5",N.G. Nair,3184,Paratype,PBL,,,
"Lasianthus andamanicus Hook.f.
var. ciliatus Deb & M. Gangop.","South Andaman,
Dhanikari",16.1.1978,P. Basu,6641,Paratype,PBL,,,
"Lasianthus andamanicus Hook.f.
var. ciliatus Deb & M. Gangop.","Little Andaman, way
towards Hut Bay (
Dugong Creek )",1.9.1976,N. Bhargava,4339,Paratype,PBL,,,
"Lasianthus andamanicus Hook.f.
var. ciliatus Deb & M. Gangop.","North Nicobar,
Katchal Island,
Mildera",1.5.1977,P. Chakraborty,5600,Paratype,PBL,,,
"Ophiorrhiza infundibularis N.P.
Balakr.","South Nicobar, Great
Nicobar 31-32 East-West
Road",14.6.1977,N.P. Balakrishnan,5745 B&C,Isotype,PBL,,,
"Ophiorrhiza nicobarica N.P.
Balakr.","Great Nicobar,
M.K.M.Campbell Bay to
Alexendar river",21.8.1975,N.P. Balakrishnan,"3027
C,D,E,F,G&H",Isotype,PBL,,,
"Coptophyllum nicobaricum (N.P.
Balakr.) Deb & Rout","Great Nicobar, 15 km
on",18.6.1977,N.P. Balakrishnan,5837 B&C,Isotype,PBL,,,
,East West Road,,,,,,,,
"Psychotria balakrishnii Deb & M.
Gangop.","North Nicobar, Saddle
Peak",2.12.1976,N.P. Balakrishnan,4785 B&C,Isotype,PBL,,,
"Psychotria balakrishnii Deb & M.
Gangop.","Middle Andaman,
Tugapur",31.7.1974,N.P. Balakrishnan,1949 B&C,Paratype,PBL,,,
"Diplospora andamanica N.P.
Balakr. & N.G. Nair","North Andaman, Saddle
Peak",1.12.1979,N.P. Balakrishnan,4762 B C,Isotype,PBL,,,
"Guettarda andamanica Goel &
Mehrotra","South Andaman,
Chiriatapu",23.9.1975,"N.P. Balakrishnan
&
P. Chakraborty",3090,Paratype,PBL,,,
"Ixora katchalensis T. Husain &
S.R. Paul","North Nicobar, Katchal
Island, towards Kaponga",22.4.1974,P. Chakraborty,1134 A&B,Holotype,PBL,,,
"Ixora katchalensis T. Husain &
S.R. Paul","North Nicobar, Lamia
Bay to Ramnagar",29.3.1977,N.P. Balakrishnan,5325 A&B,Paratype,PBL,,,
"Ixora katchalensis T. Husain &
S.R. Paul","North Nicobar,
Katchal Island,
Kapanga",22.2.1977,P. Chakraborty,5305 A&B,Paratype,PBL,,,
"Ixora katchalensis T. Husain &
S.R. Paul","North Nicobar, Katchal
Island, Kamorta",22.5.1977,N. Bhargava,5031 A&B,Paratype,PBL,,,
"Ophiorrhiza nicobarica N.P.
Balakr.","Great Nicobar, Shaded
stream sides, in
inland forest, clay
loamy soil",29.7.1976,N.P. Balakrishnan,4073,Isotype,PBL,,,
"Vernonia andamanica N.P.
Balakr. & N.G. Nair","North Andaman, Saddle
Peak",1.12.1976,"N.P. Balakrishnan
&
N.G. Nair","4768 B,C&D",Isotype,PBL,,,
Maesa sarmentacea Roxb.,"South Nicobar, 30 km on
East - West Road, 100m",7.12.1978,N.G. Nair,7196,Isotype,PBL,,,
"Planchonella clarkeana R.
Kumari & Thoth.","South Andaman, South
Creek Laurinji wayside ,
Baratang Island","26.10.197
9",P. Basu,7366,Isotype,PBL,,,
