"Type specimens at Botanical Survey of India, Central Regional Centre, Allahabad (BSA)",,,,,,,,,
Name of the Taxon,Family,Place of collection,"Date of 
Collection","Name of the
collector","F.No. / 
Coll. No.",Type Details,"Herbarium
Acronym",,
Leea talbotii King ex Talbot,,"Acc. No.
3088",Leeaceae,1882,W.A. Talbot,"Yellapore, N.Kannara",Holotype,BSI,
"Utricularia babui S.R. Yadav,
Sardesai & S.P. Gaikwad",,3045,Lentibulariaceae,04.04.2004,M.M. Sardesai,"Suleran Ajra, Kolhapur",Isotype,BSI,
"Utricularia janarthanamii S.R.
Yadav, Sardesai & S.P.
Gaikwad",,223 C,Lentibulariaceae,17.08.1997,M.M. Sardesai,Kolhapur,Isotype,BSI,
"Utricularia naikii S.R. Yadav,
Sardesai & S.P. Gaikwad",,"119 C,G",Lentibulariaceae,26.09.1999,M.M. Sardesai,"Amboli, Sindhudurg",Isotype,BSI,
"Rotala belgaumensis S.R.
Yadav, Malpur, Chandore",,3131,Lythraceae,31.08.2008,N.V. Malpure,"Amgaon plateau, Belgaum",Isotype,BSI,
"Abelmoschus manihot (L.) 
Medik. subsp. tetraphyllus
(Roxb.ex Horn.) Borss.
Waalk. var. megaspermus
Hemadri",,106812 B,Malvaceae,05.10.1965,K. Hemadri,"Pimperwadi, Junnar, Pune",Isotype,BSI,
"Abelmoschus manihot (L.) 
Medik. subsp. tetraphyllus
(Roxb.ex Horn.) Borss.
Waalk. var. megaspermus
Hemadri",,107313,Malvaceae,24.09.1965,K. Hemadri,"Ralegaon, Junnar, Pune",Paratype,BSI,
"Abelmoschus manihot (L.) 
Medik. subsp. tetraphyllus
(Roxb.ex Horn.) Borss.
Waalk. var. megaspermus
Hemadri",,108164,Malvaceae,20.09.1966,K. Hemadri,"Bhivade khurd, Junnar, Pune",Paratype,BSI,
Aglaia,talbotii Sundararagh.,2955,Meliaceae,27.11.1882,W.A. Talbot,"Kumpta, N.Kannara",Holotype,BSI,
Aglaia,talbotii Sundararagh.,499,Meliaceae,July 1883,W.A. Talbot,"Karwar, N.Kannara",Paratype,BSI,
"Azadirachta indica subsp.
vartakii M.J. Kothari,
Londhe et Singh",,173100,Meliaceae,06.03.1997,M.J. Kothari,"Rani-Amravati, Amravati",Isotype,BSI,
"Dysoxylum glandulosum
Talbot",,3808,Meliaceae,02.02.1897,W.A. Talbot,"Telgiri, N.Kannara",Syntype,BSI,
Ficus talbotii King,,655,Moraceae,03.09.1883,W.A. Talbot,"Shirshi, N. Kannara",Syntype,BSI,
Ficus talbotii King,,1100,Moraceae,28.09.1884,W.A. Talbot,"Yena rocks, N.K annara",Syntype,BSI,
Eugenia kanarensis Talbot,,3552,Myrtaceae,10.01.1896,W.A. Talbot,"Mulamni, N. Kannara",Holotype,BSI,
Eugenia memecylifolia Talbot,,3127,Myrtaceae,05.05.1894,W.A. Talbot,"Kalpa, N. Kannara",Holotype,BSI,
Eugenia memecylifolia Talbot,,3127,Myrtaceae,05.05.1894,W.A. Talbot,"Kalpa, N. Kannara",Isotype,BSI,
Eugenia utilis Talbot,,3644,Myrtaceae,05.05.1896,W.A. Talbot,"Sonda, N. Kannara",Isotype,BSI,
Eugenia utilis Talbot,,3644,Myrtaceae,05.05.1896,W.A. Talbot,"Sonda, N. Kannara",Holotype,BSI,
"Coelogyne schultesii S.K. Jain
& Phukan",,159,Orchidaceae,1899,D. Prain,Assam,Paratype,BSI,
Dendrobium mabelae Gammie,,Acc No. 339,Orchidaceae,"October
1902",G.A. Gammie,"Castle Rock, Karnataka",Type,BSI,
"Arthraxon junnarensis S.K.
Jain & Hemadri",,106849 B-C,Poaceae,06.10.1965,K. Hemadri,"Varsubai plateau, Junnar,
Pune",Isotype,BSI,
"Arthraxon junnarensis S.K.
Jain & Hemadri",,27170 A-B,Poaceae,12.10.1957,S.D. Mahajan,"Wilson point rd.
Mahabaleshwar, Satara",Paratype,BSI,
"Arthraxon lanceolatus (Roxb.)
Hochst. var. lanceolata",,99978,Poaceae,26.08.1964,M.Y. Ansari,"Sitabaidara, Arvi, Haveli,
Pune",Paratype,BSI,
"Arthraxon lancifolius (Trin.) 
Hochst. var. hindustanicus
Jain et. Deshp.",,8857 A-D,Poaceae,05.09.1965,P.J. Cherian,"Chopra, Kaisawa fort, Goa",Isotype,BSI,
"Arthraxon lancifolius (Trin.) 
Hochst. var. hindustanicus
Jain et. Deshp",,118151 A,Poaceae,27.09.1968,K. Hemadri,"Ganesh caves, Junnar, Pune",Paratype,BSI,
"Arthraxon raizadae S.K. Jain,
Hemadri & Deshp.",,98585 B-D,Poaceae,25.12.1969,K. Hemadri,"Mahabaleshwar, Satara",Isotype,BSI,
"Arthraxon raizadae S.K. Jain,
Hemadri & Deshp.",,87059,Poaceae,22.12.1963,K.C. Kanodia,"Gureghar, Mahabaleshwar
rd.,
Satara",Paratype,BSI,
"Arthraxon raizadae S.K. Jain,
Hemadri & Deshp.",,98546 B-D,Poaceae,24.12.1969,K. Hemadri,"Mahabaleshwar, Satara",Paratype,BSI,
Bhidea burnsiana Bor,,"Acc. No.
4684",Poaceae,08.10.1919,R.K. Bhide,"Lonavala, Pune",Isotype,BSI,
Bothriochloa jainii Deshp. &,,104241 B-C,Poaceae,24.10.1964,K. Hemadri,"Durga killa, Junnar, Pune",Isotype,BSI,
Hemadri,,,,,,,,,
"Bothriochloa jainii Deshp. &
Hemadri",Poaceae,"Taramati hill,
Harischandragad,
Thane","19.11.196
8",K.V. Billore,95800,Paratype,BSI,,
"Bothriochloa jainii Deshp. &
Hemadri",Poaceae,"Tiskari forest, Ambavane,
Pune","30.01.196
4",B.V. Reddi,115689,Paratype,BSI,,
"Brachiaria brizantha (Hochst.
ex A.Rich) Stapf var.
ciliata
Basappa et Muniy.",Poaceae,"Dept. garden Manasgangotri,
Mysore","11.09.198
0",Bassapa & Muniy.,1004 B,Isotype,BSI,,
"Brachiaria chennaveraiana
Basappa & Muniy.",Poaceae,"Mount Abu, near Gomukh","15.10.198
0",Basappa & Muniy.,2195 B,Isotype,BSI,,
"Brachiaria erusiformis
(J.E.Smith) Griseb
var
divaricata",Poaceae,Bogadi near Mysore,"12.08.197
9",Bassapa & Muniy.,1451 B,Isotype,BSI,,
"Basappa et
Muniy.",,,,,,,,,
"Brachiaria hybrida Basappa
& Muniy.",Poaceae,"Near Tung dam, Gajahur,
Shimoga","10.09.197
9",Basappa & Muniy.,2851 B,Isotype,BSI,,
Brachiaria munae Basappa,Poaceae,"Madurai Kamraj uni. Campus,
Madurai","20.12.197
9",Basappa,3001 B,Isotype,BSI,,
"Brachiaria ramosa Stapf var.
pubescens Basappa &
Muniy.",Poaceae,"Benakanhalli, Shimoga","20.08.198
0",Basappa & Muniy.,2171 B,Isotype,BSI,,
"Brachiaria reptans Gard. &
Hubb. var. hispida
Basappa & Muniy.",Poaceae,"Govinakovi, Shimoga","10.10.198
0",Basappa & Muniy.,2302 B,Isotype,BSI,,
"Brachiaria semiundulata
Stapf var. intermedia
Basappa & Muniy.",Poaceae,"Near Doopada bori, Bedaguli,
Mysore","08.08.197
9",Basappa & Muniy.,2602 B,Isotype,BSI,,
"Brachiaria semiundulata
Stapf var. lanata Basappa
& Muniy.",Poaceae,"Near Doopada bori, Bedaguli,
Mysore","08.08.197
9",Basappa & Muniy.,2603 B,Isotype,BSI,,
"Brachiaria setigera Hubb.
var. albistyla Basappa &
Muniy.",Poaceae,"Agri. cllg. campus,
Coimbatore.","25.10.198
0",Basappa & Muniy.,2716 B,Isotype,BSI,,
"Brachiaria stapfiana
Basappa & Muniy.",Poaceae,"Near Ugra Narshimha
temple,
Humpi, Bellary","20.09.197
9",Basappa & Muniy.,2100 B,Isotype,BSI,,
"Brachiaria villosa A. Camus 
var. glaberrima Bassapa &
Muniy.",Poaceae,"Near monkey pt., Kasauli,
Shivalik hill, Chandigarh","26.11.198
1",Basappa & Muniy.,2911 B,Isotype,BSI,,
Coelachne ghatica Naik,Poaceae,"Amboli, Sindhudurg","13.09.197
1",V.N. Naik,1300 A,Holotype,BSI,,
"Cynodon barberi Rang. &
Tadul.",Poaceae,Coimbatore,Aug-96,###,"Acc. No.
4503",Syntype,BSI,,
Danthonia gammiei Bhide,Poaceae,"Castle rock, N.Kannara",25.10.1902,G.A. Gammie,15636,Holotype,BSI,,
"Dichanthium magdaleni
(Almeida) Jain et Deshp.",Poaceae,"Agumbe, Shimoga",03.11.1973,M.R. Almeida,2941,Paratype,BSI,,
"Dimeria santapaui M.R.
Almeida",Poaceae,"Mirjan ﬂats, N.Kannara",Oct. 1919,Sedgwik & Bell,6875,Isotype,BSI,,
Dimeria woodrowii Stapf,Poaceae,"Marmagao, Goa",14.10.1891,W.A. Talbot,2557,Isotype,BSI,,
"Enteropogon badamicus
Bhide",Poaceae,"Badami, Karnatak",08.09.1911,R.K. Bhide,"Acc. No.
4697",Isotype,BSI,,
"Eulalia shrirangii Salunke &
Potdar",Poaceae,"Kas plateau, Satara",09.10.1994,C.B. Salunkhe,8170,Isotype,BSI,,
"Glyphochloa henryi Janarth.,
Joshi & Rajkumar",Poaceae,"Tisk, Virgao, Goa",27.09.1998,Rajkumar & Janarth.,1661,Isotype,BSI,,
"Glyphochloa veldkampii
Fonseca & Janarth.",Poaceae,"Goa, Kasauli, along Panjim-
Belgaum highway",21.10.2001,Janarth.& Fonseca,1901,Isotype,BSI,,
"Isachne bicolor Naik &
Patunkar",Poaceae,"Mhaismal, Aurangabad",08.10.1973,B.W. Patwardhan,1849 D,Isotype,BSI,,
Isachne borii Hemadri,Poaceae,"Durga killa, Junnar, Pune",22.09.1968,K. Hemadri,117968 B-C,Isotype,BSI,,
Isachne borii Hemadri,Poaceae,"Plateau above Bhushi lake,
Lonavala, Pune",20.08.1964,B.V. Reddi,98672 A-E,Paratype,BSI,,
"Isachne swaminathanii
Ved Prakash & S.K.
Jain",Poaceae,"Mahabaleshwar, Satara",05.10.1957,G.S. Puri,25641,Paratype,BSI,,
"Ischaemum raizadae Hemadri
& Billore",Poaceae,Ambewadi,12.10.1907,G.B. Patwardhan,115450 D-N,Paratype,BSI,,
"Ischaemum raizadae Hemadri
& Billore",Poaceae,"Sadrya ghat near
Harishchandragad, Thane",16.11.1968,K.V. Billore,115,Isotype,BSI,,
"Jansenella neglecta
S.R.Yadav, Chivalkar et
Gosavi",Poaceae,"Radhanagri WLS, Kolhapur",08.10.2006,S.R. Yadav,201,Isotype,BSI,,
"Lasiurus ecaudatus Satyanar.
& Shank.",Poaceae,"Savan, Jodhpur",07.01.1962,"K.A.
Shankarnarayan",719,Type,BSI,,
"Manisuris acuminata Kuntze
var. woodrowii Bor",Poaceae,"Vasco Da Gama, Goa",9-Sep,R.K. Bhide,"Acc. No.
4707",Syntype,BSI,,
"Manisuris
emend Jain",forficulata Fischer,4305,Poaceae,###,W.A. Talbot,"Poondra, Karnataka",Paratype,BSI,
Manisuris goaensis R.S. Rao,Poaceae,"Near varna village, Madgao,",08.11.1962,R.S. Rao,84474 B-C,Isotype,BSI,,
& Hemadri,,Goa,,,,,,,
"Manisuris goaensis R.S. Rao
& Hemadri",Poaceae,"Near porvorin village, Goa","08.11.196
3",R.S. Rao,"92850 B,D",Paratype,BSI,,
"Manisuris mysorensis S. K.Jain
& Hemadri",Poaceae,"Castle rock, N.Kannara","25.10.190
2",G.A. Gammie,15643,Paratype,BSI,,
"Manisuris santapaui S.K. Jain
& Deshp.",Poaceae,Ratnagiri,"15.09.196
1",C.J. Saldanha,1730 B,Isotype,BSI,,
"Manisuris ratnagirica B.G.
Kulk. & Hemadri",Poaceae,"Solia jungle, Amboli,
Sindhudurg","29.10.196
9",B.G. Kulkurni,119190 A-K,Paratype,BSI,,
"Manisuris ratnagirica B.G.
Kulk. & Hemadri",Poaceae,"Chakul rd. Amboli ghat,
Sindhudurg","12.10.197
0",B.G. Kulkurni,121638 B-D,Isotype,BSI,,
"Mnesithea veldkampii Potdar,
S.P. Gaikwad, Salunke &
S.R. Yadav",Poaceae,"Maushi plateau,Satara","06.11.200
2",S.R. Yadav,1466,Isotype,BSI,,
"Oryza malampuzhensis
Krishnasw. & Chandras.",Poaceae,"Emurbhagavati hill, Palghat,
Kerla","21.08.195
6","Krishnasw. &
Chandra.",30459,Type,BSI,,
"Panicum deccanense Naik &
Patunkar",Poaceae,"Mirzhapur, Nanded","24.09.197
4",B.W. Patwardhan,2350 A,Holotype,BSI,,
"Panicum deccanense Naik &
Patunkar",Poaceae,"Mirzhapur, Nanded","24.09.197
4",B.W. Patwardhan,2350 D,Isotype,BSI,,
"Panicum deccanense Naik &
Patunkar",Poaceae,"Mirzhapur, Nanded","24.09.197
4",B.W. Patwardhan,2350 D,Isotype,BSI,,
"Panicum paianum Naik &
Patunkar",Poaceae,"Rajghar, Nanded","26.10.197
4",B.W. Patwardhan,2430 A,Holotype,BSI,,
"Panicum paianum Naik &
Patunkar",Poaceae,"Rajghar, Nanded","26.10.197
4",B.W. Patwardhan,2430 C-D,Isotype,BSI,,
"Panicum paianum Nair &
Patunkar var. minor Naik &
Patunkar",Poaceae,"Rajghar, Nanded","26.10.197
4",B.W. Patwardhan,2439 A,Holotype,BSI,,
"Panicum paianum Naik &
Patunkar var. minor Naik & 
Patunkar",Poaceae,"Rajghar, Nanded","26.10.197
4",B.W. Patwardhan,2439 E,Isotype,BSI,,
"Panicum phoiniclados Naik &
Patunkar",Poaceae,"Gunjgaon, Nanded","17.11.197
4",B.W. Patwardhan,2468 C,Isotype,BSI,,
"Panicum phoiniclados Naik &
Patunkar",Poaceae,"Gunjgaon, Nanded","17.11.197
4",B.W. Patwardhan,2468 A,Holotype,BSI,,
Pogonachne racemosa Bor,Poaceae,"Matheran hills, Raigad.","25.10.189
6",####,Acc. No.,Isotype,BSI,,
,,,,,4708,,,,
Rottboellia talbotii Hook.f.,Poaceae,"Marmagao, Goa",15.10.1891,W.A. Talbot,2572,Isotype,BSI,,
"Themeda pseudotremula
Potdar, Salunke & 
S.R. Yadav",Poaceae,"Tillari, Kolhapur",12.11.2001,G.G. Potdar,801,Isotype,BSI,,
"Tripogon polyanthus Naik &
Patunkar",Poaceae,"Daulatabad, Aurangabad",18.10.1973,B.W. Patwardhan,1859 D,Isotype,BSI,,
"Tripogon roxburghianus
Bhide",Poaceae,"Badami, Karnatak",10.09.1909,R.K. Bhide,"Acc. No.
5332",Isotype,BSI,,
"Polygonum hydropiper L. var.
glandulIosissima Cage",Polygonaceae,-,-,-,2682,-,BSI,,
"Ventilago maderaspatana
Benth. var. fructifida
Santapau",Rhamnaceae,"Khandal, Pune.",22.03.1905,L.D. Garade,"Acc.No.
124631",Holotype,BSI,,
"Ventilago maderaspatana
Benth. var. fructifida
Santapau",Rhamnaceae,"Khandal, Pune.",22.03.1905,L.D. Garade,"Acc. No.
124635",Isotype,BSI,,
Anotis prainiana Talbot,Rubiaceae,"Sautaver, Mysore",29.12.1893,W.A. Talbot,2995,Isotype,BSI,,
Anotis prainiana Talbot,Rubiaceae,"Sautaver, Mysore",06.09.1893,W.A. Talbot,2995,Holotype,BSI,,
Lasianthus sessilis Talbot,Rubiaceae,"Artabail, N.Kannar",15.09.1884,W.A. Talbot,1027,Holotype,BSI,,
Lasianthus sessilis Talbot,Rubiaceae,"Artabail, N.Kannar",10.10.1884,W.A. Talbot,1027,Isotype,BSI,,
Lasianthus sessilis Talbot,Rubiaceae,"Barakana, Agumbe, Shimoga",19.05.1960,R.S. Raghvan,260,Paratype,BSI,,
Psychotria canarensis Talbot,Rubiaceae,"Girsappa, N.Kannara",18.11.1884,W.A. Talbot,257,Paratype,BSI,,
Psychotria canarensis Talbot,Rubiaceae,"Girasappa, N.Kannara",18.11.1884,W.A. Talbot,337,Holotype,BSI,,
Psychotria flavida Talbot,Rubiaceae,"Nilkund, N.Kannara",02.12.1895,W.A. Talbot,3536,Paratype,BSI,,
Psychotria flavida Talbot,Rubiaceae,"Sonda, N.Kannara",10.05.1896,W.A. Talbot,3661,Holotype,BSI,,
Psychotria octosulcata Talbot,Rubiaceae,"Nilkund, N.Kannara",02.12.1895,W.A. Talbot,3764,Paratype,BSI,,
Psychotria octosulcata Talbot,Rubiaceae,"Siddhapur, N.Kannara",22.03.1896,W.A. Talbot,3556,Holotype,BSI,,
"Tarenna agumbensis
Sundararagh.",Rubiaceae,"Barakana, Agumbe, Shimoga",19.05.1960,R.S. Raghavan,62732,Isotype,BSI,,
"Tarenna agumbensis
Sundararagh.",Rubiaceae,"Emkalkare, Agumbe, Shimoga",14.05.1962,R.S. Raghavan,80583 A-D,Paratype,BSI,,
Symplocos kanarana Talbot,Symplocaceae,"Earanbi, N.Kannara",22.05.1896,W.A. Talbot,3673,Holotype,BSI,,
Symplocos kanarana Talbot,Symplocaceae,N.Kannara,22.05.1896,W.A.T albot,3673,Isotype,BSI,,
"Tamarix cutchensis B.V.Shetty
& R.P.Pandey",Tamaricaceae,"Mundra, Gujarat",###,S.K. Jain,11735,Holotype,BSI,,
Triumfetta tungarensis Billore,Tiliaceae,"Mazivili, Mandvi, Thane Dist",23.11.1968,K.V. Billore,115873 A,Holotype,BSI,,
Triumfetta tungarensis Billore,Tiliaceae,"Mazivili, Mandvi, Thane Dist",23.11.1968,K.V. Billore,115873 B,Isotype,BSI,,
Viscum trilobatum Talbot,Viscaceae,"Yellapore, N.Kannara","18.12.190
0",W.A. Talbot,"Acc. No.
7039",Holotype,BSI,,
Amomum ghaticum K.G. Bhat,Zingiberaceae,"Sampaje ghat, Coorg","09.05.198
6",G.K. Bhat,1971,Isotype,BSI,,
Paracautleya bhatii R.M. Sm.,Zingiberaceae,"Manipaul, near medical
cllg.on rocks, S.Kannara","01.07.197
5",G.K. Bhat,204,Isotype,BSI,,
"Zingiber diwakarianum
R.K.Singh",Zingiberaceae,"Mahabaleshwar, Satara","15.07.200
8",R.K. Singh,"184173 B,C",Isotype,BSI,,
"Zingiber diwakarianum
R.K.Singh",Zingiberaceae,"Mahabaleshwar, Satara","15.07.200
8",R.K. Singh,184174 A-C,Paratype,BSI,,
Pachylarnax pleiocarpa Dandy,Magnoliaceae,"Digboi,
Tinsukia,
Assam",10/11/1931,A. Das,9635,Syntype,ASSAM,,
Trivalvaria kanjilalii D. Das,Annonaceae,"Nongkla,
Meghalaya",10/12/1915,Upendranath Kanjilal,6348,Paratype,ASSAM,,
Fissistigma santapaui D. Das,Annonaceae,"DulongR.F.
Forest,North
Lakhimpur,
Assam",10/3/1962,G. Panigrahi,27678,Isotype,ASSAM,,
"Citrus assamensis Dutta et
Bhattacharya",Rutaceae,"Karimganj,
Assam",6/11/1938,"S. Dutta & S.C.
Bhattacharya",236,Holotype,ASSAM,,
"Homalium bhamoense
var.debbarmoni Kanjilal",Flacourtiaceae,"Tura Beat, Garo
Hills,
Meghalaya",4/3/1915,Upendranath Kanjilal,5221,Type,ASSAM,,
"Hypericum hookerianum Wt. &
Arn. var. dentatum S.N. Biswas",Hypericaceae,"Moﬂong,
Meghalaya",25-06-1949,M.L. Saikia,22676,Paratype,ASSAM,,
"Eurya japonica Thunb. var. nitida
Korth. forma Kanjilali
Debbarman et Biswas",Theaceae,"Dehingi bank,
N.C. Hills, Assam",25-01-1915,"Upendranath
Kanjilal Det.-R.
Seshagiri Rao",6780,Isotype,ASSAM,,
"Mansonia dipikae C.S.
Purkayastha",Sterculiaceae,"Ranga Pahar,
Nagaland",21-06- 1945,C.S. Purkayastha,21865,Isotype,ASSAM,,
Salacia khasiana Purkayastha,"Hippocrateacea
e","Umleswar
forest,
Meghalaya",28-08-1936,Shri Ram Sarma,13541,Lectotype,ASSAM,,
"Cotinus kanaka (R.N. De) 
Chandra",Anacardiaceae,"Sona kurung,
Meghalaya",6/6/1939,S.R. Sharma,18452,"Type
Holotype
Isotype",ASSAM,,
"Dumasia villosa DC. var.
arunachalensis Predeep et
Nayar",Papilionaceae,"Jabrang,
Arunacha
l
Pradesh",16-10-1955,R. Seshagiri Rao,1307,Paratype,ASSAM,,
"Derris elliptica Benth. var.
chittagongensis Thoth.","Caesalpiniacea
e","Shella forest,
Meghalaya",26-05-1937,G.K. Deka,14064,Paratype,ASSAM,,
Derris pseudo- robusta Thoth.,"Caesalpiniacea
e","Kheti tincha,
Arunachal
Pradesh",22-08-1958,G. Panigrahi,14550B,Isotype,ASSAM,,
Gleditsia assamica Bor,"Caesalpiniacea
e","Pasighat
Reserve,
Sadiya, Assam",30-03-1938,P. Das,18468,Syntype,ASSAM,,
"Gymnocladus assamicus U.N.
Kanjilal ex P.C. Kanjilal","Caesalpiniacea
e","Laitkseh,
Meghalaya",00-00-1920,Upendranath Kanjilal,7624,Holotype,ASSAM,,
Cotoneaster nagaensis Klotz.,Rosaceae,"Kohima,
Nagaland",1/9/1937,G.K. Deka,15452,Holotype,ASSAM,,
Cotoneaster khasiensis Klotz.,Rosaceae,"Laitlynkot,
Meghalaya",25-09-1913,Upendranath Kanjilal,2650,Holotype,ASSAM,,
"Rubus ghanakantae Rolla Rao & 
Joseph",Rosaceae,"Rahung Bomdila,
Arunachal
Pradesh",5/6/1957,Rolla S. Rao,8086A,Holotype,ASSAM,,
"Rubus subansiriensis Subba Rao
et Kumari",Rosaceae,"Begi to Amji,
Arunacha
l
Pradesh",6/6/1961,G.V. Subba Rao,24808,Holotype,ASSAM,,
Eugenia cyanophylla Kanjilal,Myrtaceae,"Dehingi bank,
N.C. Hills, Assam",26-01-1915,Upendranath Kanjilal,6786,Holotype,ASSAM,,
"Eugenia assamica Biswas &
Purkayastha",Myrtaceae,"Pasighat,
Sadeya, Assam","June, 1936",Purkayastha,13491,Isotype,ASSAM,,
Syzygium mishmiensis Chatterjee,Myrtaceae,"Nizamghat,
Arunachal
Pradesh",6/12/1913,Upendranath Kanjilal,3146,Isotype,ASSAM,,
"Lagerstroemia minuticarpa
Debbarman ex Kanjilal",Lythraceae,"Bomjur,
Arunacha
l
Pradesh",3/12/1913,Upendranath Kanjilal,3107l,Holotype,ASSAM,,
Gomphogyne macrocarpa Cogn.,Cucurbitaceae,"Lansang forest
(Kothong),
Arunachal
Pradesh",26-06-1961,D.B. Deb,"26151B, C",Isoneotype-2,ASSAM,,
Indofevillea khasiana Chatterjee,Cucurbitaceae,"Aka
Hills,
Arunacha
l
Pradesh",1934,N.L. Bor,16662,Type-1,ASSAM,,
Hydrocotyle himalaica P.K. Mukh.,Apiaceae,"Deothang to
Narfong, Dreyi
to Shoeliang
Bhutan",30-08-1965,A.S. Rao,"43221,
10359,
10544",Paratype-4,ASSAM,,
"Merrilliopanax cordifolia A.R.K.
Sastry",Araliaceae,Begi-Amjee,12/5/1966,A.R.K. Sastry,44893 B,Isotype-1,ASSAM,,
Panax longibracteolatus J. Wen,Araliaceae,"Tirap
F.D.,
Arunach
al
Pradesh",26.8.1958,G. Panigrahi,16833A-B,Isotype-2,ASSAM,,
"Panax pseudo-ginseng Wall.
subsp. himalaicus var.
angustifolius (Burkill) L.",Araliaceae,"Gomchhu,
Eastern Bhutan",5/9/1965,A.S. Rao,43445,Paratype-4,ASSAM,,
"Knoxia wallichii Bruce ex
Panigrahi",Rubiaceae,"Jowai,
Meghalaya",30-10-1956,G. Panigrahi,"4246 A,
246 B","Holotype-1
Isotype-1
Paratype-
2",ASSAM,,
Mycetia mukerjiana Deb et Dutta,Rubiaceae,"Makum killa,
Lakhimpur,
Assam",21-06-1938,G.K. Deka,16961B,Isotype-1,ASSAM,,
Mycetia listeri Deb,Rubiaceae,"9th mile from
kimin to ziro,
Arunacha
l
Pradesh",25-09-1959,G. Panigrahi,"19395 A,B",Paratype-2,ASSAM,,
"Rubia cordifolia var. cordifolia
forma strigosa Deb & Malick",Rubiaceae,"Jegaon to Pam,
Arunacha
l
Pradesh",21-05-1958,G. Panigrahi,"16006 A, B",Paratype-2,ASSAM,,
"Agapetes acuminata D. Don ex
G. Don var. tipiensis Banik &
Sanjappa",Ericaceae,"Tipi- Sessa,
Arunachal
Pradesh",23.4.2002,D. Banik,27953,Isotype- 1,ASSAM,,
"Agapetes arunachalensis D.
Banik & M. Sanjappa",Ericaceae,"Lower Subansiri,
Arunachal
Pradesh",2.5.2002,D. Banik,"27961,
27969","Paratype -1
Isotype -1",ASSAM,,
"Agapetes bhutanica Balak. &
Chowdhury",Ericaceae,"Deothang,
Eastern Bhutan",29-03-1965,"N.P.
Balakrishnan","41943 E, F",Isotype-2,ASSAM,,
"Agapetis dalaiensis D. Banik &
M. Sanjappa",Ericaceae,"Dalai, Lohit
Dist.,
Arunacha
l
Pradesh",19.5.2003,D. Banik,27535,Isotype-1,ASSAM,,
Agapetes kanjilali Das,Ericaceae,"MakumRange,
Lakhimpur,
Assam","April, 1914",Upendranath Kanjilal,4090,"Holotype-
1",ASSAM,,
"Agapetes megacarpa W. W.
Sm. var. lohitensis Banik & 
Sanjappa",Ericaceae,"Mailiang, Lohit,
Arunacha
l
Pradesh",16.5.2003,D. Banik,27534,Isotype-1,ASSAM,,
Agapetes muscorum Airy Shaw,Ericaceae,"Rizampaka-
Saling,
Arunachal
Pradesh",17-04-1965,A.R.K.Sastry,42057,Paratype-1,ASSAM,,
Agapetis salicifolia CBC var.,Ericaceae,Mehao,27.11.2000,D.K. Singh & Party,9319,Isotype –1,ASSAM,,
ganduliflora Banik & Sanjappa,,"WLS,
Arunachal
Pradesh",,,,,,,
Agapetes similis Airy Shaw,Ericaceae,"Hapoli,
Arunacha
l
Pradesh",13-04-1965,A.R.K. Sastry,41079,Paratype-2,ASSAM,,
"Agapetes odentocera var.
mizoramensis Banik",Ericaceae,"Thaitlang phui,
Mizoram",16-05-1990,"B.M. Wadhwa & K.P.
Singh",96834,"Holotype-
1",ASSAM,,
"Craibiodendron mannii W.W.
Smith",Ericaceae,"Jowai,
Meghalaya",00-00-1891,Dr. King,Nil.,"Holotype-
1",ASSAM,,
"Gaultheria kamengiana Panda &
Sanjappa",Ericaceae,"West Kameng,
Arunacha
l
Pradesh",15.9.1964,J. Joseph,"40025,
40025","Holotype-
1
Isotype-
1",ASSAM,,
"Gaultheria sesha giriana Sub. et
Kum.",Ericaceae,"Takepokong,
Arunacha
l
Pradesh",19-11-1958,R.S. Rao,"17863 A, B",Isotype-2,ASSAM,,
"Rhododendron santapaui Sastry
et Kataki",Ericaceae,"Saling-
Hakhetari,
Arunacha
l
Pradesh",21-04-1965,A.R.K. Sastry,"42112B,C",Paratype-2,ASSAM,,
"Lysimachia santapaui Subba Rao
& Halim",Primulaceae,"Begi to
Amji,
Arunachal
Pradesh",6/6/1961,G.V. Subba Rao,24821A.,"Holotype-
1",ASSAM,,
Petasites kamengicus D.B. Deb,Asteraceae,"Jabrang camp,
Arunacha
l
Pradesh",3/4/1957,G. Panigrahi,6444,Isotype-3,ASSAM,,
Senecio jowaiensis Balakr.,Asteraceae,"Jowai-Jarain,
Meghalaya",Nil,"N.P.
Balakrishnan",47400C,Isotype-2,ASSAM,,
Embelia daflaensis Deb et Kar,Myrsinaceae,"Geling-
kepangla
,
Arunacha
l
Pradesh",10/11/1958,R.S. Rao,17626,Paratype-4,ASSAM,,
"Diploknema butyraceoides
(Scott.) H.J. Lam.",Sapotaceae,"Nizamghat,
Arunacha
l
Pradesh",5/12/1913,Upendranath Kanjilal,3137,Isotype-3,ASSAM,,
Maba cacharensis Das & Kanjilal,Ebenaceae,"Dulong
river,Lakhimpur,
Assam",18-05-1933,A.Das,10548,Syntype-2,ASSAM,,
Maesa truncata A.R.K. Sastry,Ebenaceae,"Palin
Radang
village,
Arunachal
Pradesh",17-05-1966,A.R.K.Sastry,"45387
B, C, D,
E, F",Isotype-5,ASSAM,,
Symplocos pealii A. Das ex King,Symplocaceae,"Makum Range,
Lakhimpur,
Assam",24-11-1914,Upendranath Kanjilal,"4744,
6868.",Paratype-2,ASSAM,,
